product category; product name; product description; price; product option; option value;nothing useful; product option; option value 
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;red;;size;small
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;red;;size;medium
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;red;;size;large
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;red;;size;x-large
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;royal blue;;size;small
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;royal blue;;size;medium
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;royal blue;;size;large
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;royal blue;;size;x-large
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;purple;;size;small
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;purple;;size;medium
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;purple;;size;large
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;purple;;size;x-large
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;pink;;size;small
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;pink;;size;medium
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;pink;;size;large
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;pink;;size;x-large
shirt;A|X Armani Exchange Men's Japanese Floral Print Vneck Tee;;28;color;royal blue;;size;small
shirt;A|X Armani Exchange Men's Japanese Floral Print Vneck Tee;;28;color;royal blue;;size;medium
shirt;A|X Armani Exchange Men's Japanese Floral Print Vneck Tee;;28;color;royal blue;;size;large
shirt;A|X Armani Exchange Men's Japanese Floral Print Vneck Tee;;28;color;royal blue;;size;x-large
shirt;A|X Armani Exchange Men's Japanese Floral Print Vneck Tee;;28;color;purple;;size;small
shirt;A|X Armani Exchange Men's Japanese Floral Print Vneck Tee;;28;color;purple;;size;medium
shirt;A|X Armani Exchange Men's Japanese Floral Print Vneck Tee;;28;color;purple;;size;large
shirt;A|X Armani Exchange Men's Japanese Floral Print Vneck Tee;;28;color;purple;;size;x-large
shirt;A|X Armani Exchange Men's Japanese Floral Print Vneck Tee;;28;color;red;;size;small
shirt;A|X Armani Exchange Men's Japanese Floral Print Vneck Tee;;28;color;red;;size;medium
shirt;A|X Armani Exchange Men's Japanese Floral Print Vneck Tee;;28;color;red;;size;large
shirt;A|X Armani Exchange Men's Japanese Floral Print Vneck Tee;;28;color;red;;size;x-large
shirt;A|X Armani Exchange Men's Japanese Floral Print Vneck Tee;;28;color;orange;;size;small
shirt;A|X Armani Exchange Men's Japanese Floral Print Vneck Tee;;28;color;orange;;size;medium
shirt;A|X Armani Exchange Men's Japanese Floral Print Vneck Tee;;28;color;orange;;size;large
shirt;A|X Armani Exchange Men's Japanese Floral Print Vneck Tee;;28;color;orange;;size;x-large
shirt;A|X Armani Exchange Men's Solid Colored Basic Pima V Neck;100% Cotton;20;color;maroon;;size;small
shirt;A|X Armani Exchange Men's Solid Colored Basic Pima V Neck;100% Cotton;20;color;maroon;;size;medium
shirt;A|X Armani Exchange Men's Solid Colored Basic Pima V Neck;100% Cotton;20;color;maroon;;size;large
shirt;A|X Armani Exchange Men's Solid Colored Basic Pima V Neck;100% Cotton;20;color;maroon;;size;x-large
shirt;A|X Armani Exchange Men's Solid Colored Basic Pima V Neck;100% Cotton;20;color;sky blue;;size;small
shirt;A|X Armani Exchange Men's Solid Colored Basic Pima V Neck;100% Cotton;20;color;sky blue;;size;medium
shirt;A|X Armani Exchange Men's Solid Colored Basic Pima V Neck;100% Cotton;20;color;sky blue;;size;large
shirt;A|X Armani Exchange Men's Solid Colored Basic Pima V Neck;100% Cotton;20;color;sky blue;;size;x-large
shirt;A|X Armani Exchange Men's Solid Colored Basic Pima V Neck;100% Cotton;20;color;purple;;size;small
shirt;A|X Armani Exchange Men's Solid Colored Basic Pima V Neck;100% Cotton;20;color;purple;;size;medium
shirt;A|X Armani Exchange Men's Solid Colored Basic Pima V Neck;100% Cotton;20;color;purple;;size;large
shirt;A|X Armani Exchange Men's Solid Colored Basic Pima V Neck;100% Cotton;20;color;purple;;size;x-large
shirt;A|X Armani Exchange Men's Solid Colored Basic Pima V Neck;100% Cotton;20;color;yellow;;size;small
shirt;A|X Armani Exchange Men's Solid Colored Basic Pima V Neck;100% Cotton;20;color;yellow;;size;medium
shirt;A|X Armani Exchange Men's Solid Colored Basic Pima V Neck;100% Cotton;20;color;yellow;;size;large
shirt;A|X Armani Exchange Men's Solid Colored Basic Pima V Neck;100% Cotton;20;color;yellow;;size;x-large
shirt;A|X Armani Exchange Men's Vneck Graphic Jersey Tee;;33;color;sky blue;;size;small
shirt;A|X Armani Exchange Men's Vneck Graphic Jersey Tee;;33;color;sky blue;;size;medium
shirt;A|X Armani Exchange Men's Vneck Graphic Jersey Tee;;33;color;sky blue;;size;large
shirt;A|X Armani Exchange Men's Vneck Graphic Jersey Tee;;33;color;sky blue;;size;x-large
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;yellow;;size;small
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;yellow;;size;medium
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;yellow;;size;large
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;yellow;;size;x-large
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;gray;;size;small
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;gray;;size;medium
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;gray;;size;large
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;gray;;size;x-large
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;royal blue;;size;small
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;royal blue;;size;medium
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;royal blue;;size;large
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;royal blue;;size;x-large
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;black;;size;small
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;black;;size;medium
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;black;;size;large
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;black;;size;x-large
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;sky blue;;size;small
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;sky blue;;size;medium
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;sky blue;;size;large
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;sky blue;;size;x-large
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;red;;size;small
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;red;;size;medium
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;red;;size;large
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;red;;size;x-large
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;orange;;size;small
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;orange;;size;medium
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;orange;;size;large
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;orange;;size;x-large
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;purple;;size;small
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;purple;;size;medium
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;purple;;size;large
shirt;American Apparel Men 50/50 Crewneck T-Shirt;;17;color;purple;;size;x-large
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;sky blue;;size;small
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;sky blue;;size;medium
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;sky blue;;size;large
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;sky blue;;size;x-large
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;royal blue;;size;small
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;royal blue;;size;medium
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;royal blue;;size;large
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;royal blue;;size;x-large
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;red;;size;small
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;red;;size;medium
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;red;;size;large
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;red;;size;x-large
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;black;;size;small
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;black;;size;medium
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;black;;size;large
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;black;;size;x-large
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;pink;;size;small
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;pink;;size;medium
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;pink;;size;large
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;pink;;size;x-large
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;yellow;;size;small
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;yellow;;size;medium
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;yellow;;size;large
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;yellow;;size;x-large
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;orange;;size;small
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;orange;;size;medium
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;orange;;size;large
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;orange;;size;x-large
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;gray;;size;small
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;gray;;size;medium
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;gray;;size;large
shirt;American Apparel Men's Tri-Blend Short Sleeve Track Shirt;;25;color;gray;;size;x-large
cap;Bayside USA-Made Unstructured Cap;;17;color;maroon;;size;small
cap;Bayside USA-Made Unstructured Cap;;17;color;maroon;;size;medium
cap;Bayside USA-Made Unstructured Cap;;17;color;maroon;;size;large
cap;Bayside USA-Made Unstructured Cap;;17;color;maroon;;size;x-large
cap;Bayside USA-Made Unstructured Cap;;17;color;pink;;size;small
cap;Bayside USA-Made Unstructured Cap;;17;color;pink;;size;medium
cap;Bayside USA-Made Unstructured Cap;;17;color;pink;;size;large
cap;Bayside USA-Made Unstructured Cap;;17;color;pink;;size;x-large
cap;Bayside USA-Made Unstructured Cap;;17;color;hunter green;;size;small
cap;Bayside USA-Made Unstructured Cap;;17;color;hunter green;;size;medium
cap;Bayside USA-Made Unstructured Cap;;17;color;hunter green;;size;large
cap;Bayside USA-Made Unstructured Cap;;17;color;hunter green;;size;x-large
cap;Bayside USA-Made Unstructured Cap;;17;color;sky blue;;size;small
cap;Bayside USA-Made Unstructured Cap;;17;color;sky blue;;size;medium
cap;Bayside USA-Made Unstructured Cap;;17;color;sky blue;;size;large
cap;Bayside USA-Made Unstructured Cap;;17;color;sky blue;;size;x-large
cap;Bayside USA-Made Unstructured Cap;;17;color;orange;;size;small
cap;Bayside USA-Made Unstructured Cap;;17;color;orange;;size;medium
